,Nombre,Plataforma,Año,Genero,Editorial,Ventas NA,Ventas EU,Ventas JP,Ventas Otros,Ventas Global
7113,Ragnarok DS,DS,2008,Role-Playing,GungHo,0.1,0.0,0.11,0.01,0.22
7114,Petz Rescue: Endangered Paradise,DS,2008,Adventure,Ubisoft,0.21,0.0,0.0,0.02,0.22
7115,Petz: Horse Club,Wii,2008,Misc,Ubisoft,0.2,0.0,0.0,0.02,0.22
7116,Rapala's Fishing Frenzy,Wii,2008,Sports,Activision,0.2,0.0,0.0,0.02,0.22
7117,KORG DS-10 Synthesizer,DS,2008,Misc,AQ Interactive,0.2,0.01,0.0,0.02,0.22
7118,Tenchu: Shadow Assassins,Wii,2008,Action,Ubisoft,0.16,0.01,0.03,0.02,0.22
7119,Age of Empires: Mythologies,DS,2008,Strategy,THQ,0.17,0.03,0.0,0.02,0.22
7120,Dragon Ball: Origins (JP & incomplete US sales),DS,2008,Adventure,Atari,0.04,0.0,0.17,0.0,0.22
7121,NBA Live 09 All-Play,Wii,2008,Sports,Electronic Arts,0.19,0.01,0.0,0.02,0.22
7122,Tamagotchi no KiraKira Omisecchi,DS,2008,Misc,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
7123,NCAA Basketball 09,X360,2008,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.22
7124,Pass the Pigs,DS,2008,Misc,THQ,0.2,0.0,0.0,0.02,0.22
7125,J-League Winning Eleven 2008: Club Championship,PS2,2008,Sports,Konami Digital Entertainment,0.0,0.0,0.22,0.0,0.22
7126,Order Up!,Wii,2008,Misc,Zoo Digital Publishing,0.19,0.01,0.0,0.02,0.22
7127,Summer Athletics: The Ultimate Challenge (Others sales),Wii,2008,Sports,DTP Entertainment,0.0,0.2,0.0,0.01,0.22
7128,Ninja Gaiden: Dragon Sword,DS,2008,Action,Tecmo Koei,0.17,0.02,0.02,0.02,0.22
7129,Blue Dragon Plus,DS,2008,Role-Playing,Ignition Entertainment,0.12,0.04,0.05,0.01,0.22
7130,Ys Seven,PSP,2009,Role-Playing,Falcom Corporation,0.14,0.0,0.08,0.01,0.22
7131,G-Force,PS3,2009,Action,Disney Interactive Studios,0.13,0.06,0.0,0.03,0.22
7132,Cloudy With a Chance of Meatballs,DS,2009,Platform,Ubisoft,0.2,0.01,0.0,0.02,0.22
7133,A Boy and His Blob,Wii,2009,Platform,Majesco Entertainment,0.19,0.02,0.0,0.02,0.22
7134,Imagine: Boutique Owner,DS,2009,Simulation,Ubisoft,0.2,0.0,0.0,0.02,0.22
7135,Cursed Mountain,Wii,2009,Adventure,Deep Silver,0.09,0.1,0.0,0.02,0.22
7136,Tales of Graces,Wii,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
7137,Where's Waldo? The Fantastic Journey,DS,2009,Adventure,Ubisoft,0.2,0.0,0.0,0.02,0.22
7138,ATV Quad Kings,Wii,2009,Racing,Zoo Digital Publishing,0.21,0.0,0.0,0.01,0.22
7139,Tropico 3,X360,2009,Strategy,Kalypso Media,0.15,0.02,0.03,0.02,0.22
7140,Ben 10 Alien Force: Vilgax Attacks,X360,2009,Action,D3Publisher,0.11,0.09,0.0,0.02,0.22
7141,G.I. Joe: The Rise of Cobra,Wii,2009,Action,Electronic Arts,0.17,0.03,0.0,0.02,0.22
7142,Infinite Space,DS,2009,Role-Playing,Sega,0.07,0.06,0.07,0.01,0.22
7143,Pinball Hall of Fame: The Williams Collection,PS3,2009,Misc,Crave Entertainment,0.2,0.0,0.0,0.02,0.22
7144,Guitar Hero: Smash Hits,PS2,2009,Misc,Activision,0.11,0.01,0.0,0.1,0.22
7145,Hasbro Family Game Night,DS,2009,Puzzle,Electronic Arts,0.01,0.19,0.0,0.02,0.22
7146,Shin Megami Tensei: Persona,PSP,2009,Role-Playing,Atlus,0.08,0.0,0.13,0.01,0.22
7147,Marvel Super Hero Squad: The Infinity Gauntlet,DS,2010,Action,THQ,0.17,0.03,0.0,0.02,0.22
7148,Kidz Bop Dance Party! The Video Game,Wii,2010,Misc,D3Publisher,0.21,0.0,0.0,0.01,0.22
7149,Ben 10 Ultimate Alien: Cosmic Destruction,PS2,2010,Platform,D3Publisher,0.13,0.06,0.0,0.04,0.22
7150,MotoGP 09/10,PS3,2010,Racing,Capcom,0.05,0.13,0.0,0.04,0.22
7151,Hidden Mysteries: Buckingham Palace,DS,2010,Puzzle,Avanquest,0.13,0.07,0.0,0.02,0.22
7152,Barbie: Groom and Glam Pups,Wii,2010,Action,THQ,0.19,0.02,0.0,0.01,0.22
7153,CSI: Fatal Conspiracy,Wii,2010,Adventure,Ubisoft,0.12,0.08,0.0,0.02,0.22
7154,SBK X: Superbike World Championship,PS3,2010,Racing,Black Bean Games,0.05,0.13,0.0,0.04,0.22
7155,Apache: Air Assault,PS3,2010,Simulation,Activision,0.11,0.07,0.0,0.03,0.22
7156,Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,2011,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
7157,Danball Senki Boost,PSP,2011,Action,Level 5,0.0,0.0,0.22,0.0,0.22
7158,Madden NFL 12,PSP,2011,Sports,Electronic Arts,0.21,0.0,0.0,0.02,0.22
7159,Sengoku Basara 3 Utage,PS3,2011,Action,Capcom,0.0,0.0,0.22,0.0,0.22
7160,Rune Factory: Tides of Destiny,PS3,2011,Role-Playing,Marvelous Interactive,0.14,0.0,0.07,0.01,0.22
7161,Shinobi,3DS,2011,Platform,Sega,0.14,0.07,0.0,0.02,0.22
7162,Puss in Boots,Wii,2011,Action,THQ,0.19,0.01,0.0,0.01,0.22
7163,Hunted: The Demon's Forge,X360,2011,Action,Bethesda Softworks,0.13,0.07,0.0,0.02,0.22
7164,Yoostar2,X360,2011,Misc,Unknown,0.11,0.09,0.0,0.02,0.22
7165,You Don't Know Jack,Wii,2011,Misc,THQ,0.2,0.0,0.0,0.01,0.22
7166,Dead Island,PC,2011,Action,Deep Silver,0.12,0.07,0.0,0.03,0.22
7167,LEGO The Lord of the Rings,PC,2012,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0.0,0.03,0.22
7168,Dungeon Hunter Alliance,PSV,2012,Action,Ubisoft,0.09,0.1,0.0,0.04,0.22
7169,Spirit Camera: The Cursed Memoir,3DS,2012,Adventure,Nintendo,0.12,0.02,0.06,0.01,0.22
7170,Armored Core V,X360,2012,Simulation,Namco Bandai Games,0.13,0.03,0.04,0.01,0.22
7171,Digimon World Re:Digitize,PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
7172,Sword Art Online: Infinity Moment,PSP,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
7173,Killer is Dead,PS3,2013,Action,Deep Silver,0.12,0.04,0.05,0.02,0.22
7174,Star Trek: The Game,X360,2013,Action,Namco Bandai Games,0.12,0.09,0.0,0.02,0.22
7175,Hatsune Miku: Project Mirai 2,3DS,2013,Action,Sega,0.0,0.0,0.22,0.0,0.22
7176,Atelier Escha & Logy: Alchemists of the Dusk Sky,PS3,2013,Role-Playing,Tecmo Koei,0.06,0.04,0.1,0.02,0.22
7177,Hitman: HD Trilogy,PS3,2013,Action,Square Enix,0.07,0.1,0.0,0.04,0.22
7178,The Legend of Heroes: Trails of Cold Steel,PS3,2013,Role-Playing,Nippon Ichi Software,0.05,0.04,0.12,0.02,0.22
7179,Lost Planet 3,PS3,2013,Shooter,Capcom,0.07,0.06,0.06,0.03,0.22
7180,NBA Live 14,PS4,2013,Sports,Electronic Arts,0.14,0.05,0.0,0.03,0.22
7181,Sniper: Ghost Warrior 2,X360,2013,Shooter,City Interactive,0.06,0.13,0.0,0.02,0.22
7182,Castlevania: Lords of Shadow 2,PS3,2014,Action,Konami Digital Entertainment,0.03,0.13,0.02,0.04,0.22
7183,The Walking Dead: Season Two,PS3,2014,Adventure,Telltale Games,0.09,0.09,0.0,0.04,0.22
7184,Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014,Adventure,Activision,0.11,0.09,0.0,0.02,0.22
7185,Lords of the Fallen,XOne,2014,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22
7186,Dark Souls II,XOne,2015,Role-Playing,Namco Bandai Games,0.13,0.07,0.0,0.02,0.22
7187,Tom Clancy's Rainbow Six: Siege,PC,2015,Shooter,Ubisoft,0.12,0.08,0.0,0.02,0.22
7188,Transformers: Devastation,PS4,2015,Action,Activision,0.1,0.08,0.0,0.04,0.22
7189,Just Dance 2016,PS3,2015,Misc,Ubisoft,0.1,0.08,0.0,0.04,0.22
7190,Shin Megami Tensei x Fire Emblem,WiiU,2015,Role-Playing,Nintendo,0.1,0.04,0.06,0.01,0.22
7191,Darksiders II,PS4,2015,Action,Nordic Games,0.09,0.1,0.0,0.04,0.22
7192,Code Name: S.T.E.A.M.,3DS,2015,Strategy,Nintendo,0.14,0.05,0.01,0.02,0.22
7193,One Piece: Pirate Warriors 3,PSV,2015,Action,Namco Bandai Games,0.0,0.07,0.13,0.02,0.22
7194,Ride,PS4,2015,Racing,Milestone S.r.l.,0.03,0.13,0.03,0.03,0.22
7195,Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.09,0.08,0.01,0.04,0.22
7196,Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.0,0.0,0.22,0.0,0.22
7197,Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
7198,RealSports Baseball,2600,1981,Sports,Atari,0.2,0.01,0.0,0.0,0.21
7199,Dragon Ball Z Hyper Dimension,SNES,1995,Fighting,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21
7200,X-Men: Children of the Atom,SAT,1995,Fighting,Acclaim Entertainment,0.0,0.0,0.21,0.0,0.21
7201,Pandemonium!,PS,1996,Platform,BMG Interactive Entertainment,0.12,0.08,0.0,0.01,0.21
7202,NOÃ«L: NOT DiGITAL,PS,1996,Adventure,Pioneer LDC,0.0,0.0,0.2,0.01,0.21
7203,Bastard!! Utsuro Naru Kamigami no Utsuwa,PS,1996,Role-Playing,Seta Corporation,0.0,0.0,0.2,0.01,0.21
7204,The King of Fighters '96,SAT,1996,Fighting,SNK,0.0,0.0,0.21,0.0,0.21
7205,Pro Yakyuu Greatest Nine '97,SAT,1997,Sports,Sega,0.0,0.0,0.21,0.0,0.21
7206,Lunar: Silver Star Story Complete,SAT,1997,Role-Playing,Kadokawa Shoten,0.0,0.0,0.21,0.0,0.21
7207,EVE: burst error,SAT,1997,Adventure,Imagineer,0.0,0.0,0.21,0.0,0.21
7208,ClayFighter 63 1/3,N64,1997,Fighting,Interplay,0.17,0.04,0.0,0.0,0.21
7209,Angel Blade: Neo Tokyo Guardians,PS,1997,Role-Playing,On Demand,0.12,0.08,0.0,0.01,0.21
7210,WCW Nitro,N64,1998,Fighting,THQ,0.17,0.04,0.0,0.0,0.21
7211,Yarudora Series Vol. 2: Kisetsu wo Dakishimete,PS,1998,Adventure,Sony Computer Entertainment,0.0,0.0,0.19,0.01,0.21
7212,WCW Backstage Assault,PS,1999,Action,Electronic Arts,0.12,0.08,0.0,0.01,0.21
7213,Monopoly,N64,1999,Misc,Hasbro Interactive,0.17,0.04,0.0,0.0,0.21
7214,Gex 3: Deep Cover Gecko,N64,1999,Platform,Crave Entertainment,0.17,0.04,0.0,0.0,0.21
7215,WinBack: Covert Operations,N64,1999,Shooter,Virgin Interactive,0.17,0.04,0.0,0.0,0.21
7216,Threads of Fate,PS,1999,Role-Playing,SquareSoft,0.12,0.08,0.0,0.01,0.21
7217,Rollcage,PS,1999,Racing,Psygnosis,0.12,0.08,0.0,0.01,0.21
7218,NBA in the Zone 2000,PS,2000,Sports,Konami Digital Entertainment,0.12,0.08,0.0,0.01,0.21
7219,Wild Wild Racing,PS2,2000,Racing,Interplay,0.1,0.08,0.0,0.03,0.21
7220,HBO Boxing,PS,2000,Fighting,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.21
7221,Cruis'n Exotica,N64,2000,Racing,Midway Games,0.17,0.04,0.0,0.0,0.21
7222,PoPoLoCrois Monogatari II,PS,2000,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.2,0.01,0.21
7223,ESPN Winter X Games: Snowboarding 2002,PS2,2000,Sports,Konami Digital Entertainment,0.1,0.08,0.0,0.03,0.21
7224,Mortal Kombat: Special Forces,PS,2000,Fighting,Midway Games,0.12,0.08,0.0,0.01,0.21
7225,Bugs Bunny & Taz: Time Busters,PS,2000,Adventure,Infogrames,0.11,0.08,0.0,0.01,0.21
7226,Dark Summit,PS2,2001,Sports,THQ,0.11,0.08,0.0,0.03,0.21
7227,Cabela's Big Game Hunter: Ultimate Challenge,PS,2001,Sports,Activision Value,0.12,0.08,0.0,0.01,0.21
7228,Quake III: Revolution,PS2,2001,Shooter,Electronic Arts,0.1,0.08,0.0,0.03,0.21
7229,Shadow of Destiny,PS2,2001,Adventure,Konami Digital Entertainment,0.09,0.07,0.03,0.02,0.21
7230,Rumble Racing,PS2,2001,Racing,Electronic Arts,0.1,0.08,0.0,0.03,0.21
7231,NHL Hitz 20-02,GC,2001,Sports,Midway Games,0.16,0.04,0.0,0.01,0.21
7232,Final Fight One,GBA,2001,Fighting,Ubisoft,0.09,0.03,0.08,0.0,0.21
7233,Disaster Report,PS2,2002,Action,Agetec,0.03,0.02,0.15,0.01,0.21
7234,Robotech: The Macross Saga,GBA,2002,Shooter,TDK Mediactive,0.15,0.06,0.0,0.0,0.21
7235,Conflict Zone,PS2,2002,Strategy,Ubisoft,0.1,0.08,0.0,0.03,0.21
7236,BloodRayne,XB,2002,Shooter,Universal Interactive,0.16,0.05,0.0,0.01,0.21
7237,Summoner 2,PS2,2002,Role-Playing,THQ,0.1,0.08,0.0,0.03,0.21
7238,The Land Before Time: Big Water Adventure,PS,2002,Platform,TDK Mediactive,0.12,0.08,0.0,0.01,0.21
7239,Deus Ex: The Conspiracy,PS2,2002,Action,Eidos Interactive,0.1,0.08,0.0,0.03,0.21
7240,JSRF: Jet Set Radio Future,XB,2002,Action,Sega,0.13,0.04,0.03,0.01,0.21
7241,NCAA Football 2003,GC,2002,Sports,Electronic Arts,0.16,0.04,0.0,0.01,0.21
7242,NHL 2003,XB,2002,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.21
7243,NHL 2K3,PS2,2002,Sports,Sega,0.1,0.08,0.0,0.03,0.21
7244,Gallop Racer 2003: A New Breed,PS2,2002,Sports,Zoo Digital Publishing,0.04,0.03,0.12,0.01,0.21
7245,BeyBlade VForce: Super Tournament Battle,GC,2002,Action,Atari,0.16,0.04,0.0,0.01,0.21
7246,Power Rangers: Wild Force,GBA,2002,Action,THQ,0.15,0.05,0.0,0.0,0.21
7247,MTV Celebrity Deathmatch,XB,2003,Fighting,Gotham Games,0.16,0.05,0.0,0.01,0.21
7248,Naruto: Clash of Ninja (JP sales),GC,2003,Fighting,Tomy Corporation,0.0,0.0,0.21,0.01,0.21
7249,Maximo vs Army of Zin,PS2,2003,Platform,Capcom,0.1,0.08,0.0,0.03,0.21
7250,The Fairly OddParents: Breakin' Da Rules,GC,2003,Platform,THQ,0.16,0.04,0.0,0.01,0.21
7251,Cabela's Deer Hunt: 2004 Season,XB,2003,Sports,Activision Value,0.16,0.05,0.0,0.01,0.21
7252,Bionicle,GC,2003,Action,Electronic Arts,0.16,0.04,0.0,0.01,0.21
7253,Shrek: Reekin' Havoc,GBA,2003,Platform,TDK Mediactive,0.15,0.06,0.0,0.0,0.21
7254,X2: Wolverine's Revenge,XB,2003,Platform,Activision,0.15,0.04,0.0,0.01,0.21
7255,The Dukes of Hazzard: Return of the General Lee,PS2,2004,Racing,Ubisoft,0.11,0.08,0.0,0.03,0.21
7256,Crash 'N' Burn,PS2,2004,Racing,Eidos Interactive,0.11,0.08,0.0,0.03,0.21
7257,The Bard's Tale,PS2,2004,Role-Playing,Ubisoft,0.1,0.08,0.0,0.03,0.21
7258,Tenchu: Return From Darkness,XB,2004,Action,Activision,0.16,0.05,0.0,0.01,0.21
7259,Neo Contra,PS2,2004,Shooter,Konami Digital Entertainment,0.1,0.08,0.0,0.03,0.21
7260,Viewtiful Joe 2,PS2,2004,Action,Capcom,0.1,0.08,0.0,0.03,0.21
7261,Famicom Mini: Ganbare Goemon! Karakuri Douchuu,GBA,2004,Platform,Konami Digital Entertainment,0.0,0.0,0.2,0.01,0.21
7262,Unreal II: The Awakening,XB,2004,Shooter,Atari,0.17,0.04,0.0,0.01,0.21
7263,SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004,Misc,,0.15,0.05,0.0,0.0,0.21
7264,Outlaw Golf 2,XB,2004,Sports,Global Star,0.15,0.04,0.0,0.01,0.21
7265,Namco Museum: 50th Anniversary,GC,2005,Misc,Namco Bandai Games,0.17,0.04,0.0,0.01,0.21
7266,NBA,PSP,2005,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.21
7267,Tony Hawk's American Sk8land,DS,2005,Sports,Activision,0.19,0.01,0.0,0.02,0.21
7268,NHL 2K6,XB,2005,Sports,Take-Two Interactive,0.16,0.05,0.0,0.01,0.21
7269,World Poker Tour,PS2,2005,Misc,Take-Two Interactive,0.1,0.08,0.0,0.03,0.21
7270,MVP Baseball,PSP,2005,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.21
7271,Pac-Man World 3,PS2,2005,Platform,Namco Bandai Games,0.1,0.08,0.0,0.03,0.21
7272,Darkwatch,XB,2005,Shooter,Ubisoft,0.16,0.05,0.0,0.01,0.21
7273,Prince of Persia: Revelations,PSP,2005,Adventure,Ubisoft,0.18,0.01,0.0,0.02,0.21
7274,Front Mission 5: Scars of the War,PS2,2005,Strategy,Square Enix,0.0,0.0,0.21,0.0,0.21
7275,World Series of Poker,PSP,2005,Misc,Activision,0.19,0.0,0.0,0.02,0.21
7276,Batman Begins,XB,2005,Action,Electronic Arts,0.16,0.04,0.0,0.01,0.21
7277,Project: Snowblind,PS2,2005,Action,Eidos Interactive,0.1,0.08,0.0,0.03,0.21
7278,Evil Dead: Regeneration,PS2,2005,Action,THQ,0.1,0.08,0.0,0.03,0.21
7279,Tiger Woods PGA Tour,PSP,2005,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21
7280,Dragon Ball Z: Sagas,GC,2005,Fighting,Atari,0.16,0.04,0.0,0.01,0.21
7281,The Legend of Heroes: Trails in the Sky First Chapter,PSP,2006,Role-Playing,Ghostlight,0.1,0.03,0.06,0.03,0.21
7282,College Hoops 2K7,X360,2006,Sports,Take-Two Interactive,0.2,0.0,0.0,0.02,0.21
7283,Bratz: Forever Diamondz,GC,2006,Adventure,THQ,0.17,0.04,0.0,0.01,0.21
7284,Momotarou Dentetsu 16,PS2,2006,Misc,Hudson Soft,0.0,0.0,0.21,0.0,0.21
7285,J-League Winning Eleven 10 + Europa League 06-07,PS2,2006,Sports,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21
7286,Shin Megami Tensei: Persona 3 (jp sales),PS2,2006,Role-Playing,Tecmo Koei,0.0,0.0,0.21,0.0,0.21
7287,Heisei Kyouiku linkai DS,DS,2006,Misc,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21
7288,Need for Speed Carbon: Own the City,DS,2006,Racing,Electronic Arts,0.17,0.02,0.0,0.02,0.21
7289,Final Fantasy Fables: Chocobo's Dungeon,Wii,2007,Role-Playing,Square Enix,0.09,0.0,0.11,0.01,0.21
7290,Dorabase DS: Dramatic Stadium,DS,2007,Sports,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21
7291,NCAA March Madness 08,X360,2007,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.21
7292,Rayman Raving Rabbids,X360,2007,Misc,Ubisoft,0.18,0.01,0.0,0.02,0.21
7293,Brunswick Pro Bowling,PSP,2007,Sports,505 Games,0.19,0.0,0.0,0.02,0.21
7294,Vampire Rain,X360,2007,Action,Microsoft Game Studios,0.18,0.0,0.01,0.01,0.21
7295,Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,Namco Bandai Games,0.19,0.0,0.0,0.02,0.21
7296,NCAA March Madness 07,X360,2007,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21
7297,Afrika,PS3,2008,Adventure,Unknown,0.12,0.0,0.08,0.01,0.21
7298,Backyard NFL Football '09,Wii,2008,Sports,Atari,0.2,0.0,0.0,0.02,0.21
7299,Speed Racer: The Videogame,PS2,2008,Racing,Warner Bros. Interactive Entertainment,0.1,0.08,0.0,0.03,0.21
7300,Baja: Edge of Control,PS3,2008,Racing,THQ,0.1,0.08,0.0,0.04,0.21
7301,Bratz: Girlz Really Rock,Wii,2008,Action,THQ,0.19,0.0,0.0,0.02,0.21
7302,The Chronicles of Narnia: Prince Caspian,DS,2008,Action,Disney Interactive Studios,0.19,0.01,0.0,0.02,0.21
7303,SBK Superbike World Championship,X360,2008,Racing,Black Bean Games,0.06,0.14,0.0,0.01,0.21
7304,Spider-Man: Web of Shadows,PS2,2008,Action,Activision,0.1,0.08,0.0,0.03,0.21
7305,Tony Hawk's Motion,DS,2008,Sports,Activision,0.19,0.0,0.0,0.02,0.21
7306,Wacky Races: Crash & Dash,DS,2008,Racing,Eidos Interactive,0.19,0.0,0.0,0.01,0.21
7307,Barbie Fashion Show: An Eye for Style,DS,2008,Misc,Activision,0.19,0.0,0.0,0.02,0.21
7308,The Naked Brothers Band: The Video Game,Wii,2008,Misc,THQ,0.19,0.0,0.0,0.01,0.21
7309,Teenage Mutant Ninja Turtles: Smash-Up,PS2,2009,Fighting,Ubisoft,0.11,0.08,0.0,0.03,0.21
7310,The BIGS 2,X360,2009,Sports,Take-Two Interactive,0.19,0.01,0.0,0.02,0.21
7311,Hannah Montana: The Movie,X360,2009,Adventure,Disney Interactive Studios,0.14,0.06,0.0,0.02,0.21
7312,50 Cent: Blood on the Sand,X360,2009,Shooter,THQ,0.12,0.07,0.0,0.02,0.21
7313,G.I. Joe: The Rise of Cobra,PS3,2009,Action,Electronic Arts,0.11,0.07,0.0,0.03,0.21
7314,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,Wii,2009,Adventure,GSP,0.12,0.07,0.0,0.02,0.21
7315,Marvel Super Hero Squad,PSP,2009,Fighting,THQ,0.17,0.02,0.0,0.02,0.21
7316,Yoga Wii,Wii,2009,Sports,JoWood Productions,0.15,0.05,0.0,0.02,0.21
7317,Bass Pro Shops: The Strike,X360,2009,Sports,XS Games,0.2,0.0,0.0,0.02,0.21
7318,Wedding Dash,DS,2009,Action,Zoo Games,0.2,0.0,0.0,0.01,0.21
7319,Way of the Samurai 3,X360,2009,Action,Gamebridge,0.12,0.05,0.02,0.02,0.21
7320,StokEd,X360,2009,Sports,Zushi Games,0.18,0.01,0.0,0.01,0.21
7321,Super Robot Taisen K,DS,2009,Strategy,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21
7322,NCAA Football 10,PSP,2009,Sports,Electronic Arts,0.19,0.0,0.0,0.02,0.21
7323,Dawn of Discovery,Wii,2009,Simulation,Ubisoft,0.13,0.06,0.0,0.02,0.21
7324,CSI: Deadly Intent,X360,2009,Adventure,Ubisoft,0.1,0.08,0.0,0.02,0.21
7325,Are You Smarter Than a 5th Grader? Back to School,Wii,2010,Misc,Nintendo,0.2,0.0,0.0,0.02,0.21
7326,We Sing Robbie Williams,Wii,2010,Misc,Nordic Games,0.0,0.19,0.0,0.03,0.21
7327,UFC Undisputed 2010,PSP,2010,Fighting,THQ,0.11,0.07,0.0,0.04,0.21
7328,Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,PS3,2010,Action,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21
7329,Prison Break: The Conspiracy,X360,2010,Action,Deep Silver,0.07,0.12,0.0,0.02,0.21
7330,Hasbro Family Game Night 3,X360,2010,Misc,Electronic Arts,0.17,0.03,0.0,0.01,0.21
7331,Namco Museum Megamix,Wii,2010,Misc,Namco Bandai Games,0.2,0.0,0.0,0.01,0.21
7332,Hot Shots Tennis: Get a Grip,PSP,2010,Sports,Sony Computer Entertainment,0.06,0.0,0.13,0.01,0.21
7333,Solatorobo: Red the Hunter,DS,2010,Role-Playing,Nintendo,0.08,0.04,0.07,0.01,0.21
7334,Tales of Phantasia: Narikiri Dungeon X,PSP,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21
7335,The Last Airbender,Wii,2010,Action,THQ,0.12,0.07,0.0,0.02,0.21
7336,Greg Hastings Paintball 2,X360,2010,Shooter,Majesco Entertainment,0.19,0.0,0.0,0.01,0.21
7337,Dead to Rights: Retribution,X360,2010,Shooter,Namco Bandai Games,0.11,0.08,0.0,0.02,0.21
7338,Pro Yaky? Spirits 2010,PS3,2010,Sports,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21
7339,Kung Fu Rider,PS3,2010,Action,Sony Computer Entertainment,0.06,0.1,0.01,0.04,0.21
7340,SingStar: Back to the 80s,PS3,2011,Misc,Sony Computer Entertainment,0.0,0.16,0.0,0.05,0.21
7341,Transformers: Dark of the Moon,3DS,2011,Action,Activision,0.16,0.04,0.0,0.02,0.21
7342,Pro Evolution Soccer 2012,Wii,2011,Action,Konami Digital Entertainment,0.08,0.08,0.03,0.02,0.21
7343,Big League Sports,X360,2011,Sports,Activision,0.18,0.02,0.0,0.01,0.21
7344,de Blob 2,PS3,2011,Platform,THQ,0.11,0.07,0.0,0.03,0.21
7345,Now! That's What I Call Music: Dance & Sing,Wii,2011,Misc,Unknown,0.0,0.18,0.0,0.04,0.21
7346,Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,DS,2011,Strategy,Konami Digital Entertainment,0.1,0.03,0.07,0.01,0.21
7347,Champion Jockey: G1 Jockey & Gallop Racer,PS3,2011,Sports,Tecmo Koei,0.06,0.05,0.08,0.02,0.21
7348,Cabela's Survival: Shadows of Katmai,Wii,2011,Sports,Activision,0.15,0.05,0.0,0.02,0.21
7349,I Spy: Castle,DS,2011,Puzzle,Scholastic Inc.,0.19,0.0,0.0,0.01,0.21
7350,Marvel Super Hero Squad: Comic Combat,PS3,2011,Action,THQ,0.11,0.07,0.0,0.03,0.21
7351,Rune Factory: Tides of Destiny,Wii,2011,Role-Playing,Marvelous Interactive,0.14,0.0,0.06,0.01,0.21
7352,J-League Pro Soccer Club o Tsukurou! 7 Euro Plus,PSP,2011,Sports,Sega,0.0,0.0,0.21,0.0,0.21
7353,Magician's Quest: Town of Magic,3DS,2012,Simulation,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21
7354,Heroes of Ruin,3DS,2012,Role-Playing,Nintendo,0.13,0.07,0.0,0.02,0.21
7355,WipeOut 3 The Game,X360,2012,Action,Activision,0.2,0.0,0.0,0.01,0.21
7356,Just Dance: Greatest Hits,Wii,2012,Misc,Ubisoft,0.15,0.04,0.0,0.02,0.21
7357,The Amazing Spider-Man (Console Version),DS,2012,Action,Activision,0.15,0.04,0.0,0.01,0.21
7358,Little Battlers eXperience: Baku Boost,3DS,2012,Action,Nintendo,0.0,0.0,0.21,0.0,0.21
7359,Anarchy Reigns,PS3,2012,Action,Sega,0.1,0.03,0.06,0.02,0.21
7360,Jikkyou Powerful Pro Yakyuu 2012,PS3,2012,Action,Konami Digital Entertainment,0.0,0.0,0.21,0.0,0.21
7361,Steins;Gate,PSV,2013,Adventure,PQube,0.07,0.09,0.0,0.05,0.21
7362,Akiba's Trip: Undead & Undressed,PSV,2013,Action,Nippon Ichi Software,0.09,0.02,0.08,0.03,0.21
7363,Disney's Planes,WiiU,2013,Simulation,Disney Interactive Studios,0.15,0.04,0.0,0.02,0.21
